omega,c1,c2,swarm,score,forced,leftover
1,1.5084717892770643,1.1591310477756134,1.6027402458655624,17.467537659455417,77.142,6,0
2,0.4552770341982216,1.5279865137487718,2.273483814832697,26.641311082464682,93.694,2,0
0,1.1590446432220691,0.6862267272541,0.7534282641757752,86.28053105760752,82.008,6,0
0,2.4471582297679686,1.1809614523468326,0.5236958763245373,60.50169148610058,79.08800000000001,6,0
2,1.226067619988622,0.560219331922081,1.915418952600238,17.66472654801563,95.586,4,0
0,1.076712160546544,0.479456406661094,1.0492982414739842,10.468984851881995,81.772,9,0
2,2.4238075037878817,0.5369619005956602,1.7461459475439347,20.906869181287927,82.82000000000001,7,0
1,2.4079515059411696,1.0960109479081812,0.5681137454569042,99.77319295080989,85.244,9,0
1,0.6828955974743125,1.4396091016948898,2.3305477336261706,60.383567354511314,77.8,5,0
2,0.9037271408188288,0.33151903369633523,1.3347738027048246,89.51227488805516,89.372,7,0
1,2.280612185433867,1.136384318486295,1.289026569659728,91.59515033012104,101.35600000000001,3,0
2,0.3927698251074283,1.7713059138215312,2.0058354504032576,26.014349286964247,82.876,8,0
0,2.2265838294907496,1.8248039858838518,1.6568575171817257,32.266962457911646,94.376,4,0
1,1.1098797120401382,1.4748449929752645,2.2402674122133917,71.74777910607193,75.79,7,0
2,0.6273854252247477,1.2659455191390403,1.1657843640885661,91.55410900661155,88.524,5,0
0,1.1937303348848827,2.4143956794849757,1.3608389953024196,89.66559981879266,75.932,6,0
0,1.4894642965384572,0.30797127877170155,0.9874692317334328,97.59797264636813,87.268,5,0
0,0.6079876197369509,0.6206848028365244,0.7107985148500641,40.258488521796096,92.024,8,0
1,2.1985853041553756,0.47873649418838504,1.0877762411702299,89.11545970129154,85.512,8,0
0,0.5156725811854208,2.1817555136350992,2.434989082499681,99.78471541855482,86.474,4,0
2,1.6030815167433676,0.9965697048774578,1.619926775158278,71.12326001588508,75.84,4,0
2,1.3860948623775307,0.6534790779523207,2.12662590837428,25.962128346549903,89.096,7,0
1,1.316179978976556,0.9363065575881939,1.7304669509409756,70.83375574067563,72.116,6,0
2,0.6792538004719826,1.1733288223766754,2.0212634222351897,63.42038351329809,97.518,6,0
0,0.8023612239157345,0.9233403346240343,1.0502548899684696,97.31541745108204,67.264,6,0
1,0.5065414290167884,1.4792237367380747,0.39459740929479165,40.042213950153666,95.242,6,0
2,0.8960855083742569,0.5446434582442622,1.1631321699657042,31.968732978917775,96.91199999999999,6,0
2,2.1284373583719507,1.937398004138298,1.5098763864126437,61.67214665638739,86.66,8,0
2,2.0324722974097953,1.7476095001073593,1.9283048421684488,10.186379555642006,77.47,9,0
2,0.807280915262564,1.4970694923003505,1.7229888457072264,91.96357762084307,97.824,6,0
0,1.8368470457439043,2.1502531815255743,0.3,100.0,72.49600000000001,6,0
0,2.1816344410065343,0.3878169426423015,2.5,100.0,81.342,7,0
0,1.151123871174165,0.3,0.3,85.01218242679704,94.634,7,0
1,1.6395688000818562,2.189970235122698,1.664749952724784,91.95638336512278,73.27,8,0
0,0.8806609993472181,0.3,2.2945926937054035,78.46255616189423,85.072,5,0
0,2.5,1.079744485011701,0.9990053052140435,12.289430549552012,86.884,8,0
0,2.5,1.2040136842201896,2.2992040492346524,100.0,76.908,7,0
2,1.0349289215779394,0.7269846171303654,2.5,100.0,83.856,5,0
0,0.6506827361260665,1.4967188678719325,0.5404662370649969,76.35098034920046,87.65,7,0
2,1.9820652058406816,0.3,0.3,42.180805177002426,89.974,5,0
0,2.5,0.3,2.5,93.67937070096036,78.17,7,0
2,1.4982293628882635,2.5,1.2844836092466172,94.04805557492325,79.674,8,0
0,1.6309518680086394,1.8949629979585274,2.5,10.0,101.732,7,0
2,1.221561476618401,0.3,2.5,69.0877779986444,77.98,6,0
1,1.3925689756620496,2.486391108314855,0.3,100.0,79.164,10,0
0,1.4788696821431155,0.3,0.9251753847316331,78.73852855075526,93.798,6,0
0,2.5,1.5940676333658241,0.3,46.745786658903164,92.95400000000001,6,0
1,0.45098887191720705,0.44856534883804977,2.0198042601260844,62.40595222923368,86.11,4,0
2,1.7649577086668684,0.3,1.3341960249562672,100.0,87.6,5,0
2,0.3,1.0425024225530886,0.3,54.7309044627053,89.61,8,0
1,1.2641897096596824,1.664457434045872,1.172604084063682,21.78228462711799,74.66,2,0
1,2.3083505399019884,1.7051090686197414,1.8439658682631705,69.19860715877965,103.242,6,0
0,1.3314103611400574,0.3,1.6024601251289794,41.3095727091965,81.02,8,0
2,0.3,0.3,2.5,100.0,75.034,5,0
2,1.7760743383519946,0.3,0.9764180767098434,100.0,81.474,6,0
0,0.3,2.3662489011264576,2.410650287162584,100.0,74.238,10,0
0,1.7818248097470957,0.4268295104335741,0.9089613215048152,74.96145031486024,68.702,7,0
1,2.3057678445641496,1.5551890573989857,0.3,62.36178373916849,83.138,5,0
1,1.9723972936783112,1.2408300167515862,2.0664830333854747,95.0334139936559,71.486,6,0
2,0.3,0.3334298101747195,2.5,71.92938042046804,82.982,6,0
1,2.071719574063265,1.6035311670586916,1.145124477027229,100.0,84.206,6,0
0,1.6671169682356655,0.3,1.3216510128529808,100.0,66.598,9,0
1,2.1026590918687207,0.3,0.3,93.562110487415,92.284,6,0
0,1.3117306528213388,2.179538125092434,2.197326301053895,86.43307159323356,79.202,8,0
2,2.351712925250188,0.7909820736439263,1.2766282370506363,100.0,99.428,5,0
1,2.5,1.4579895769274658,1.0976211536592873,39.62793339177552,72.404,4,0
2,2.5,1.0277929935084078,1.0937335540489943,73.40673150804032,98.22,8,0
2,1.8364817743104298,0.4790916201474198,2.5,100.0,85.216,6,0
0,2.214987113556114,0.6999873950653412,0.34328502596233634,93.40759202320643,91.902,4,0
2,2.5,0.3,0.3,68.55613014842585,95.988,7,0
0,2.5,0.3,1.471010276675475,100.0,71.052,5,0
2,1.5808098482903437,0.3,1.602520623218523,72.53394244233907,86.878,6,0
0,1.617971222480196,0.48361036469222496,1.931582309087873,10.0,92.004,5,0
2,1.8730764481804907,0.3,2.3220813332060324,96.47199697753382,89.168,4,0
2,2.5,0.32875644967596385,1.7015561292569268,100.0,81.446,5,0
0,2.0263945828587904,0.3,1.1019924368146394,88.49080529007928,93.732,6,0
2,2.5,1.6350748401920647,0.3,20.957563550327045,90.076,2,0
1,1.4027587887198867,1.0001508032531758,2.5,100.0,91.746,4,0
2,2.2881387167830574,0.3,1.43846701304658,100.0,84.048,7,0
2,0.5708794893824007,1.7002923540080022,1.9862775884755792,98.24014717010132,98.628,7,0
2,2.5,1.9229712921774782,1.0604469924295004,100.0,100.26,5,0
2,2.5,2.5,1.1792059182729675,100.0,92.346,5,0
0,2.19371469761761,0.4450040425251028,1.2391070953218342,79.64949028147218,87.958,7,0
2,0.6117895144921748,2.14664141033371,1.3277146923499985,100.0,101.52,8,0
2,2.5,1.6515902858489098,0.9264746432930662,100.0,91.874,6,0
2,1.1233500348569525,1.7317679249251856,2.092721023621766,93.28107912075619,99.864,7,0
1,1.9286000645037136,0.8995791602986892,1.2036843319287878,100.0,81.65,6,0
1,2.3761973724857146,1.5474472268310422,0.3,100.0,83.706,8,0
2,2.3254223920691444,1.629616816207104,1.0712851159806256,58.86218927614957,81.682,5,0
2,2.5,2.5,1.2620162020297871,100.0,87.18,6,0
2,2.5,1.584850253704849,1.7334791718911398,100.0,88.19200000000001,5,0
2,0.3,2.5,1.3965450660987706,100.0,95.412,3,0
2,2.5,1.5368089768844728,1.4113179215591938,94.76633568823907,78.744,8,0
0,2.1104649226573606,1.8153081071579182,1.8874193949939462,62.56238323047408,86.156,6,0
2,2.5,1.3560610446660646,0.45059115790086923,100.0,75.918,7,0
2,2.5,1.7105141379496844,0.9725355488466036,31.193495108427506,87.766,6,0
2,2.5,2.012580070935467,0.3,74.83123984611174,91.84,4,0
2,2.5,1.6603994540649079,0.9022579883544433,100.0,79.818,7,0
2,2.5,0.7661188871456223,0.7053234896261407,100.0,82.378,5,0
2,2.5,1.6819479772349815,1.2036864662401319,100.0,96.078,8,0
2,2.5,1.7863875094448338,0.3,98.3340798431051,97.83200000000001,8,0
2,1.7763522599663482,0.3,1.6746774311072055,93.75827050698717,106.578,4,0
2,2.2428222163433564,2.5,1.2283123338357376,39.19617022614624,99.194,4,0
2,2.3790300021362696,2.473367115938776,0.6455059266618295,41.76386467388299,104.756,7,0
2,0.3216841612013446,1.118817766034768,2.5,24.877534425762548,99.0,9,0
1,2.244252683290083,2.3040970727191734,1.1765730004754165,70.20671769740758,79.748,6,0
2,2.5,2.5,0.5887088680713264,63.0844313400981,90.886,5,0
2,2.5,1.6481291206766802,1.3629658886870757,75.11966472601046,107.0,3,0
2,1.9082755158867253,2.3881068840514015,1.411619801050384,43.15950875624925,81.262,7,0
2,1.8854780099134996,2.472768854266712,2.5,78.88816859086705,98.116,9,0
2,2.5,2.5,1.1365652540814464,100.0,90.722,6,0
2,2.5,2.5,1.3523000656351585,100.0,88.13,6,0
1,2.5,1.2844075122178507,0.9759573906361123,57.337258889125806,79.858,6,0
1,1.2867151158914674,2.5,1.3366279563796915,43.837837080429225,79.364,4,0
2,2.5,2.5,0.8980547934650032,57.45086024660202,93.308,7,0
2,2.2995058799273496,2.404385173106096,0.7666507268937874,10.0,90.07600000000001,8,0
2,0.8940850608416369,1.9325428488128362,1.4416261506566737,40.614317809022374,89.55,6,0
2,2.040018053968635,2.5,1.4310449944107282,65.9213189151244,92.61800000000001,4,0
2,2.5,2.5,0.47987544953960215,17.657116524626822,76.08800000000001,6,0
2,2.5,2.5,0.7371261132335876,77.20673652452419,84.126,8,0
2,2.5,2.0696307514889023,1.735683426561508,100.0,78.84,7,0
2,1.0813104556084199,2.5,1.437872821399307,54.81237506625639,93.848,5,0
2,1.2034089076832428,1.1955509924010346,0.9109102772423463,10.0,93.07000000000001,7,0
1,2.5,2.0892878048294694,1.061416803094642,13.420948784918565,79.92,7,0
2,2.5,2.5,0.9651753876313562,87.83389253349013,89.58,7,0
2,2.5,2.4132291932842502,1.0395648584912667,28.760908953271898,82.622,8,0
2,2.5,2.3127483827761868,1.5684673671526839,36.98058889950088,92.866,7,0
2,1.9646287162689675,2.031953115284593,0.5049982570681064,80.22454939916229,95.94800000000001,5,0
0,2.5,1.0777389482478679,1.2563421882626618,100.0,74.524,6,0
2,2.5,1.7148903128836168,0.6683099976402237,70.30495425133391,77.892,5,0
2,2.165525451849723,2.5,0.3,41.81601630015494,86.61,10,0
2,2.094622262105744,2.185144028256423,1.2663174729062272,100.0,73.65,5,0
2,2.5,2.5,0.7360233511592429,59.63348938444861,81.736,8,0
2,2.5,2.5,0.3,10.0,87.056,8,0
2,0.7174925790467541,2.3683403804797734,1.2184422580230292,10.0,78.662,8,0
2,2.3612391432331035,2.5,1.2018019874199342,53.46044997882483,93.212,4,0
0,2.5,2.5,1.2670891418149806,62.26228690610792,82.31400000000001,9,0
2,2.5,2.1689049755420218,0.501957823413755,10.0,96.71,8,0
2,1.8132159765645217,0.9657799464586025,1.2868486355648592,49.490898656064026,97.378,3,0
2,2.5,2.5,2.5,60.84153720534369,86.622,8,0
2,2.5,2.5,1.1991428160402644,53.22232221249424,106.966,6,0
1,2.5,2.1703544508914416,1.4817622807868296,10.0,67.91,8,0
2,2.5,1.3992845057501497,1.456050691619535,31.122945906306082,93.812,4,0
0,1.3096241550539054,0.9305183994860808,1.8090912350298152,26.41283721246189,80.5,4,0
2,2.5,2.5,0.9490509712740526,10.0,86.58800000000001,6,0
2,2.5,2.5,1.9433300009253354,18.22420150639818,102.128,6,0
2,1.8448426830284,1.575734845306748,0.9002842453921622,10.0,91.304,6,0
2,2.0855077240110975,2.5,1.9794643719316896,38.16267651687825,95.824,5,0
2,2.094086654134447,2.1163768227093067,1.5931878285555072,57.456443605166704,89.08800000000001,8,0
2,2.5,2.5,1.4594087563475804,69.01524410759257,75.47,7,0
2,2.352365744337994,2.3675284490147224,1.2619394522476357,81.54004892269141,72.518,7,0
2,1.881123343462338,2.5,1.2071113061439664,71.48333244891633,84.852,6,0
1,0.3837525491137026,1.2561802783998104,0.5568995580057965,43.48177437203304,76.856,6,0
2,2.3318415092770253,2.5,1.0468673401521853,16.996478698150455,89.008,7,0
2,2.5,1.7006218082415936,1.7986495879905942,37.139115297671275,80.528,6,0
2,2.5,1.869158072230695,1.2501263509683291,40.63731051688828,89.084,7,0
2,2.5,1.6426393088399447,2.096362442616539,44.00268896899914,99.836,6,0
2,1.7613304274153199,2.5,0.3,64.89524140139488,82.384,5,0
0,2.5,2.163742750189903,1.035293648562213,67.72153476308951,86.458,6,0
2,2.5,1.3107738936107856,0.809849330669287,10.0,77.578,4,0
2,2.0842345327796377,2.1643701451719526,1.4744649766291569,50.90065171119165,82.152,8,0
2,2.071027096482261,2.5,1.5346915814181437,80.3803238940335,97.08,2,0
2,2.3329145656735073,2.5,1.3261708928144622,53.66996536478477,71.566,9,0
2,2.5,2.5,1.5474730766907878,57.61358696312246,94.51,6,0
2,2.5,2.5,0.5604627436897048,10.0,62.936,4,0
2,2.3899070595240506,2.5,1.2534669989991216,29.277592904786047,73.882,6,0
0,2.5,1.9104278010336542,1.0606612795199557,32.08036575065436,91.382,6,0
2,2.5,2.5,0.9876757391073873,10.0,88.04,7,0
2,2.2358560580742193,1.226203576712484,1.1391497378986828,50.18052442117576,83.19200000000001,8,0
2,2.4589171156851894,2.028107793671757,1.025449193009597,78.63265089226351,88.214,5,0
2,2.2733768848219267,2.08307883224223,1.1369192007599824,64.0668622973408,87.194,7,0
2,2.236207254861496,2.006546606636721,1.5230207485974634,10.0,87.308,9,0
2,2.5,2.5,1.6398512101924223,16.917751862102573,88.318,4,0
2,2.346449866378816,0.6710211660359394,1.8103512550734304,60.79659027797132,76.69,9,0
2,2.5,2.5,1.1780101758561237,10.0,83.69800000000001,7,0
2,1.7073985152242288,1.9241996217388229,2.4410075220370526,100.0,94.71,3,0
1,2.5,0.893276754781489,1.1581429883843122,10.0,78.642,4,0
2,2.2190236183837118,2.5,1.6545861011187548,19.24054006335623,72.118,10,0
2,2.0272800278600007,2.1626130592895154,1.8488926222272712,57.99782320453108,81.984,6,0
2,0.3,2.0314162148997355,2.2124381919992597,56.69741195100269,89.622,6,0
2,2.343670715191697,2.163656559370973,0.9616312769589643,28.45784520306816,83.006,4,0
1,2.167399467786222,2.5,1.3112738119224598,81.0944989677983,87.12,3,0
0,2.40954639030425,1.540743880973896,0.43735601188141804,72.16181149924387,71.034,9,0
2,2.0966478148440633,2.5,1.2781050910239837,42.986467850341555,93.836,8,0
2,2.0724019622970364,1.2184068919049444,1.04006998845556,10.0,100.016,7,0
2,2.341319620819,1.6182031507911236,1.370682538505296,47.121645297473165,89.284,7,0
2,2.265407035234085,1.5242268130266468,1.8825838854674484,42.78115419864913,75.50200000000001,5,0
2,2.5,2.5,1.5461026770594348,20.83733334436195,77.01,7,0
1,2.2647622516911903,2.223234428405676,0.3073357753389805,67.91253785083116,89.782,3,0
2,2.4412127899568774,0.9156420065481434,1.3902091168211153,35.51105194341217,82.728,6,0
1,2.282456124727895,1.9759992633299392,1.970626752387455,66.37566851315015,73.456,7,0
1,2.249087197254295,2.5,1.3648776992638265,58.21292383485031,95.556,3,0
1,2.023387499022004,2.5,1.7041548664949455,25.44075225792516,79.32600000000001,4,0
2,2.5,2.5,2.2248808032332708,68.87794974663063,96.55,6,0
2,2.5,0.9770553910418258,2.5,26.291644383318967,91.872,5,0
2,2.3622216381614085,2.5,1.2426250534316905,38.306488279019504,88.72,7,0
0,2.3742569865028598,2.2731987994232745,1.077905758423745,24.857780227096917,85.81,6,0
2,2.4959069260030806,2.2977864668314307,1.5223105881583012,10.0,91.77,8,0
2,1.9056263148643906,1.9748825451608845,1.1803356691017595,48.73102517921517,92.568,4,0
2,1.9817169387773994,1.5503399934383388,0.7906559085757161,100.0,82.56400000000001,5,0
2,2.2881502661426896,1.7846548984958177,1.143551440061997,68.95853081344909,81.656,8,0
2,2.1098938907587614,2.480928230242697,1.59472630391843,56.08647883100971,94.48,2,0
2,2.1678227682074653,2.5,1.5863286175454197,37.29337613458509,86.44200000000001,6,0
2,2.5,2.5,1.4796223093652983,62.42922929584773,80.63,6,0
2,2.234580145975632,2.5,1.1477662293247712,45.9719420328209,76.17999999999999,7,0
2,0.9231079737999659,1.900085300809017,1.2614433712887525,100.0,84.41,8,0
1,1.1487920027057807,1.2890997300127363,1.3859799673072317,22.079002752646083,80.136,4,0
2,2.2965568195273507,2.5,1.5813752829003171,39.35558528296453,73.41,6,0
2,2.298014549106,2.1989740851111406,1.3661541612468326,52.552418903150944,101.174,10,0
2,0.679133804302311,1.5403388932102153,1.335868378907895,56.17296432229193,93.548,6,0
1,2.5,1.5784801449709862,1.2413496045491652,11.524206720588708,99.086,8,0
1,0.3,2.5,1.404121299164611,92.20733983260506,84.112,5,0
1,2.1196996878350465,2.049005016575432,1.0888430543063339,94.76053514062791,88.55799999999999,2,0
2,2.015218798383482,2.5,1.4075924211461737,55.69552890664744,99.96,7,0
2,1.882001886098666,0.8288469990626448,0.9540229575308828,62.19876153824291,90.654,7,0
2,2.122234515509103,2.26186241398763,1.3673466186871845,46.28088086004464,90.4,6,0
2,2.2694708876352228,2.5,1.686504163863737,38.698266876783165,87.688,5,0
2,2.3271850554154785,2.5,1.7895184462097422,13.072855440728475,106.744,7,0
1,2.045413232426503,0.9859330248627076,0.7203134087103347,74.1657753114797,95.356,4,0
2,2.302180253565722,1.3483437545944121,0.38905813172517023,84.00691963809885,96.44800000000001,6,0
1,2.412693193402958,0.7283719193447011,1.0148652766109691,94.31901240789531,77.77,4,0
2,2.109125883933537,2.5,1.4906939599348303,62.79123739282946,99.838,7,0
2,1.9136280121589466,2.5,1.1184712453304417,38.05557182611801,91.99600000000001,6,0
2,2.2312720296501367,2.5,1.9549755410268759,55.45745346260473,82.974,9,0
2,0.3,0.3,2.5,48.77299159788991,81.406,6,0
2,2.1875048789236264,2.5,1.1832707498840964,64.39944187325727,95.48,9,0
2,2.341492777725042,2.027125570534648,0.3239301529359352,46.40835772587941,85.05,7,0
2,2.2896373709714335,2.2061153274855885,0.4947079297667014,30.507051965845477,100.634,2,0
2,1.705191678935421,1.861501530346562,1.3968802958696422,40.163258097127894,78.02,6,0
2,1.7716967248231443,1.8114472140891213,1.57336269165948,39.63413995319466,99.97,6,0
2,2.3510174063331517,2.5,1.1141951288281182,57.80935678660181,86.048,6,0
2,2.2784006166600475,1.8272291705607768,1.373063993347563,88.10146035968978,92.918,6,0
1,2.314597066029365,2.4780658384494614,1.1017281265865948,47.9918280332006,95.632,8,0
2,1.7790015649197772,2.5,1.8819715287392744,64.75064503511196,80.154,9,0
2,2.092738485949721,2.5,1.0526859000647575,79.16256109913374,89.528,7,0
2,1.4168690654997809,2.2591884825357877,1.5272293026919468,82.94951706466472,92.312,7,0
2,1.5967333089096738,2.3047081168281136,1.078390159331438,49.44024207302155,82.97200000000001,8,0
2,2.07828422675091,2.5,1.356151894734644,51.584741468030565,82.044,7,0
2,2.4296272071218366,2.3816576936058675,0.939812611990472,38.75319470686299,102.518,4,0
2,1.5031771351028786,1.5749084527169182,1.1249898308497597,55.31436344697019,80.214,8,0
1,2.249978245266977,2.44053015504468,1.4210741848748376,32.454172621529914,77.714,7,0
2,0.6835937891842485,2.5,1.281271449364526,91.1283529214088,83.26,4,0
2,1.0544428623926052,0.57295350342635,0.9863905131830659,54.193017732065485,95.42399999999999,7,0
2,2.253058611310401,2.5,1.4720580320342094,58.03071232993262,81.10000000000001,8,0
2,2.3204365615988407,1.8854342291284318,1.2346515405314864,99.27660000995013,101.95,6,0
2,1.9916894613486704,2.5,1.2059919030802495,40.78410372887523,90.928,7,0
2,2.406350550218079,2.5,1.4711351991784973,43.33194063340103,89.514,4,0
2,1.9592350967260719,2.5,1.0029783545560218,100.0,85.872,8,0
2,2.016779913629141,1.9697509930392108,1.2815120016228627,69.04327909425533,99.68599999999999,5,0
2,2.188321708327204,2.5,0.4605215070671883,100.0,98.686,5,0
2,2.3420416042977554,1.5978410538092962,0.7942755339772866,29.905740971285482,86.712,5,0
2,2.1724450282176626,2.5,1.4800586904319117,42.66413166010325,83.558,5,0
2,2.2915772360608586,2.5,0.847884755628149,48.639854315233855,80.17,5,0
2,2.0806535124539853,2.5,1.7556748708447105,36.07359292064227,91.506,7,0
2,0.6482861307106831,1.782532142565675,2.452544103782923,51.166220257111064,83.022,5,0
2,2.169146504218883,2.5,1.1861375576191049,73.84295519851212,83.576,5,0
2,2.482686484669626,2.0903239221790666,0.3,52.479594887703165,84.162,2,0
2,2.1438722468935114,2.248118650151154,0.3,54.13964188623913,88.946,7,0
2,1.9652915467094314,1.852796502093967,1.1786203131722783,37.262742890841224,81.688,7,0
2,2.183722343786962,2.3340916297820495,2.014825492342303,10.0,105.394,7,0
2,2.482098439765937,2.5,1.2485013048256204,48.34106425500154,91.758,5,0
2,2.36455346989539,2.3179094888993625,1.2837627163054528,33.72890845292057,78.15,9,0
2,2.5,2.4805149588779654,1.0767220585122674,52.79642385585782,72.558,7,0
1,0.3,2.5,2.077643229930124,65.02412995846716,69.348,5,0
2,2.4327268198420597,2.5,1.1395144035456815,65.61641170635967,99.302,7,0
2,2.2880459738676198,2.5,1.3708479621668443,76.34202652421236,79.908,2,0
2,1.5286392368044806,2.5,0.9639691325701314,31.440791924248188,93.002,7,0
2,2.169183506456545,2.5,1.5528656354174188,43.02980544349461,88.552,6,0
2,2.4048433342319027,2.5,1.0419351801417578,29.43402773275858,98.53,5,0
2,2.051584358444882,1.9690321081673756,1.9763507691343616,70.35136848051792,94.122,6,0
2,2.154743933216582,2.0763246206625525,1.1317727698634448,22.81137406482602,99.272,6,0
2,2.3310558638422485,2.5,1.341854973820345,91.83020089216913,96.992,8,0
2,0.9416949226560355,0.3,1.2581174761125986,20.22947363300168,87.236,5,0
2,2.1639942870891344,2.5,1.2779726382780656,38.65381771825628,91.298,6,0
2,2.5,2.344299446581261,1.4467905242609538,90.91937570461126,90.78,7,0
2,2.0746715509540543,2.5,1.2774869607463346,38.40022913953851,89.258,7,0
2,2.3946544963656016,1.8974734876755075,1.544798879828463,40.755868994807024,82.27000000000001,5,0
2,1.889698524948235,2.088444923931791,0.3,100.0,87.63,9,0
2,2.0662884341044054,2.5,1.6341296251361581,23.715740183304646,77.226,8,0
2,2.1154480895801955,2.5,1.6321364010070267,83.70291012482302,72.934,5,0
2,2.1137973072900555,2.126049506188522,1.6037517087009858,50.22058944766876,89.546,4,0
2,2.251443217689146,2.5,1.4248483995612378,48.536048242683975,83.846,6,0
2,2.5,2.5,1.5461759659599896,45.463427660668096,91.56,8,0
2,2.4493324408078325,2.5,1.1610492166870028,72.20057425179088,86.194,3,0
2,1.86241185819312,2.3303928303529418,0.840068900044787,29.03260460799858,79.176,5,0
2,2.3351593978939156,2.5,1.234032951957925,32.94080690207483,89.74,5,0
0,2.3461706088485745,1.7276660020520076,0.3,33.520930306475336,86.84,5,0
2,2.366679098626908,2.5,0.36009618434107893,31.184574405055642,77.028,6,0
2,2.224759891937379,1.3100107027439725,1.1467004387252295,47.63620998406283,97.012,7,0
2,2.2491250221983115,2.4613655742766363,2.243437236400799,18.415590130845985,88.634,5,0
2,2.242517506896842,1.910828007502602,1.0967639410105439,64.421061487971,76.44200000000001,6,0
2,2.3493095323187365,2.5,1.5790578947004152,40.28205852933859,89.13,3,0
2,2.5,2.4856409092482847,1.616662786077244,11.769400165682342,87.128,7,0
1,1.1779671290824334,1.7408506509651533,2.1159848801618284,43.37459331826736,75.5,4,0
2,2.4609835400677165,2.5,1.2382780692016075,20.960046145094907,94.742,8,0
2,1.311739483204863,1.6091463187050667,1.2272535063014276,49.26331114844598,92.266,4,0
2,2.1403739189321205,1.9307577202441981,1.0637592254220172,28.763272753757978,94.458,8,0
2,2.2114744292959365,2.5,1.8619297519336038,31.94167370226387,101.136,4,0
2,2.151931222946816,2.5,1.2061171960127126,26.4937038662666,84.83,6,0
2,0.966436108720693,2.190053695661548,1.8962878590882184,70.40819704137516,105.678,9,0
2,2.107094084077802,2.359386942213285,1.0563019083405232,24.2530394810737,94.182,6,0
2,2.4725063272801404,2.5,1.3722396820628284,56.642414899905134,107.818,5,0
2,2.5,1.3294194557168788,1.2402874274135416,68.10915112320768,104.28999999999999,0,0
2,2.1328305986120206,2.5,1.217175635089402,51.08986697896776,93.498,6,0
2,2.3773475669241124,1.952026704543435,1.3399756345243994,55.600855309210345,77.43,4,0
2,2.2334127077748858,2.2971936780835827,1.3281796274275028,37.16488817103968,79.746,8,0
2,2.4621424504376592,1.9675424556644376,1.6960683720422034,38.32427305274673,92.884,5,0
2,1.9855140638901712,2.1989734751524193,0.7897366019956817,65.98257929794433,94.7,7,0
2,2.1989837231959237,2.473402985951445,1.2481717256084377,17.031390722398648,93.026,7,0
2,2.1690471831363207,2.5,0.9727589075511333,27.799115966941237,87.566,8,0
1,2.226369659201067,1.5807524909843147,1.6146851572920382,100.0,82.748,6,0
2,2.0910259135437985,2.5,1.2090136089321852,58.93695957595626,85.14,9,0
2,2.2436729143097054,2.5,1.5709843743263132,32.27155772687916,80.968,8,0
2,2.5,2.5,2.151016435725322,85.70754893314574,88.402,5,0
2,1.8724697892224007,2.5,1.7246639499022585,25.229669884762913,98.378,4,0
2,2.4066434686581335,2.5,1.252133508419403,15.562020858991986,93.142,6,0
0,2.2844884840394917,2.3205504505514165,0.8252717760085091,33.61475321499657,72.32600000000001,6,0
